model,adapter,dataset,kind,accuracy,precision,recall,f1,mcc,rows_excluded
Qwen2.5-Coder-7B,AIZU384F (mono),java,baseline_q4km,0.8175,1.0,0.635,0.7768,0.6821,0
Qwen2.5-Coder-7B,AIZU384F (mono),java,finetuned,0.9775,0.9799,0.975,0.9774,0.955,0
Qwen2.5-Coder-7B,AIZU384F (mono),xlang,baseline_q4km,0.8516,0.9927,0.7083,0.8267,0.7339,0
Qwen2.5-Coder-7B,AIZU384F (mono),xlang,finetuned,0.9557,0.9442,0.9688,0.9563,0.9118,0
Qwen2.5-Coder-7B,AIZU324CLF (x-l),java,baseline_q4km,0.8175,1.0,0.635,0.7768,0.6821,0
Qwen2.5-Coder-7B,AIZU324CLF (x-l),java,finetuned,0.9775,0.9751,0.98,0.9776,0.955,0
Qwen2.5-Coder-7B,AIZU324CLF (x-l),xlang,baseline_q4km,0.8516,0.9927,0.7083,0.8267,0.7339,0
Qwen2.5-Coder-7B,AIZU324CLF (x-l),xlang,finetuned,0.9583,0.949,0.9688,0.9588,0.9169,0
Meta-Llama-3.1-8B,AIZU384F (mono),java,baseline_q4km,0.5758,0.5437,0.995,0.7032,0.2701,4
Meta-Llama-3.1-8B,AIZU384F (mono),java,finetuned,0.9425,0.989,0.895,0.9396,0.889,0
Meta-Llama-3.1-8B,AIZU384F (mono),xlang,baseline_q4km,0.5654,0.535,1.0,0.6971,0.2646,2
Meta-Llama-3.1-8B,AIZU384F (mono),xlang,finetuned,0.9375,0.9615,0.9115,0.9358,0.8762,0
CodeLlama-7b,AIZU384F (mono),java,baseline_q4km,0.5076,0.5063,1.0,0.6723,0.0508,4
CodeLlama-7b,AIZU384F (mono),java,finetuned,0.88,0.9471,0.805,0.8703,0.7687,0
CodeLlama-7b,AIZU384F (mono),xlang,baseline_q4km,0.512,0.512,1.0,0.6772,0.0,9
CodeLlama-7b,AIZU384F (mono),xlang,finetuned,0.875,0.9186,0.8229,0.8681,0.7541,0
