file,rows_total,rows_evaluated,rows_excluded,TP,FP,FN,TN,accuracy,precision,recall,f1,mcc,run_time
"results_original_meta-llama__Llama-4-Scout-17B-16E-Instruct (majority vote, 5 rounds)",96,96,0,46,1,2,47,0.9688,0.9787,0.9583,0.9684,0.9377,00:17:54
"results_ISTA-DASLab__Meta-Llama-3.1-8B-Instruct-AQLM-PV-2Bit-1x16-hf (majority vote, 5 rounds)",96,96,0,48,48,0,0,0.5,0.5,1.0,0.6667,0.0,00:04:42
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q2_K.gguf (majority vote, 5 rounds)",96,96,0,48,47,0,1,0.5104,0.5053,1.0,0.6713,0.1026,00:01:14
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf (majority vote, 5 rounds)",96,94,2,47,43,1,3,0.5319,0.5222,0.9792,0.6812,0.1099,00:01:21
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf (majority vote, 5 rounds)",96,96,0,47,40,1,8,0.5729,0.5402,0.9792,0.6963,0.2502,00:01:08
"results_higgs_llama3.1_8B_3bit (majority vote, 5 rounds)",96,92,4,47,36,1,8,0.5978,0.5663,0.9792,0.7176,0.2707,00:03:42
"results_higgs_llama3.1_8B_4bit (majority vote, 5 rounds)",96,96,0,47,32,1,16,0.6562,0.5949,0.9792,0.7402,0.4093,00:04:02
"results_original_meta-llama__Meta-Llama-3.1-8B-Instruct (majority vote, 5 rounds)",96,95,1,47,32,1,15,0.6526,0.5949,0.9792,0.7402,0.3985,00:02:29
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-2Bit (majority vote, 5 rounds)",96,89,7,45,36,2,6,0.573,0.5556,0.9574,0.7031,0.1751,00:05:42
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-3Bit (majority vote, 5 rounds)",96,93,3,47,35,1,10,0.6129,0.5732,0.9792,0.7231,0.3116,00:05:42
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-4Bit (majority vote, 5 rounds)",96,94,2,47,31,1,15,0.6596,0.6026,0.9792,0.746,0.406,00:05:57
