file,rows_total,rows_evaluated,rows_excluded,TP,FP,FN,TN,accuracy,precision,recall,f1,mcc,run_time
"results_codellama_7b_q4km_aizu_lora (majority vote, 5 rounds)",400,400,0,161,9,39,191,0.88,0.9471,0.805,0.8703,0.7687,00:04:42
"results_codellama__CodeLlama-7b-Instruct-hf (majority vote, 5 rounds)",400,400,0,193,169,7,31,0.56,0.5331,0.965,0.6868,0.2046,00:13:12
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q2_K.gguf (majority vote, 5 rounds)",400,400,0,200,200,0,0,0.5,0.5,1.0,0.6667,0.0,08:25:39
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q3_K_M.gguf (majority vote, 5 rounds)",400,400,0,199,193,1,7,0.515,0.5077,0.995,0.6723,0.1071,08:31:53
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q4_K_M.gguf (majority vote, 5 rounds)",400,400,0,200,195,0,5,0.5125,0.5063,1.0,0.6723,0.1125,08:37:11
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q2_K.gguf (majority vote, 5 rounds)",400,400,0,187,13,13,187,0.935,0.935,0.935,0.935,0.87,00:16:53
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q3_K_M.gguf (majority vote, 5 rounds)",400,400,0,186,12,14,188,0.935,0.9394,0.93,0.9347,0.87,00:17:22
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q4_K_M.gguf (majority vote, 5 rounds)",400,400,0,184,8,16,192,0.94,0.9583,0.92,0.9388,0.8807,06:41:20
"results_original_mistralai__Codestral-22B-v0.1 (majority vote, 5 rounds)",400,400,0,180,5,20,195,0.9375,0.973,0.9,0.9351,0.8775,00:45:43
"results_deepseek_coder_v2_lite (majority vote, 5 rounds)",400,400,0,181,24,19,176,0.8925,0.8829,0.905,0.8938,0.7852,00:28:30
"results_deepseek_coder_v2_lite_q4km (majority vote, 5 rounds)",400,400,0,178,15,22,185,0.9075,0.9223,0.89,0.9059,0.8155,08:12:18
"results_gguf_llama4_scout_Q2_K (majority vote, 5 rounds)",400,400,0,181,1,19,199,0.95,0.9945,0.905,0.9476,0.9037,06:19:28
"results_gguf_llama4_scout_Q3_K_S (majority vote, 5 rounds)",400,400,0,181,0,19,200,0.9525,1.0,0.905,0.9501,0.9091,06:35:47
"results_gguf_llama4_scout_Q4_K_M (majority vote, 5 rounds)",400,400,0,184,0,16,200,0.96,1.0,0.92,0.9583,0.923,06:50:49
"results_original_meta-llama__Llama-4-Scout-17B-16E-Instruct (majority vote, 5 rounds)",400,400,0,185,1,15,199,0.96,0.9946,0.925,0.9585,0.9223,01:15:50
"results_ISTA-DASLab__Meta-Llama-3.1-8B-Instruct-AQLM-PV-2Bit-1x16-hf (majority vote, 5 rounds)",400,400,0,200,188,0,12,0.53,0.5155,1.0,0.6803,0.1759,00:20:40
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q2_K.gguf (majority vote, 5 rounds)",400,400,0,200,184,0,16,0.54,0.5208,1.0,0.6849,0.2041,08:17:21
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf (majority vote, 5 rounds)",400,400,0,200,180,0,20,0.55,0.5263,1.0,0.6897,0.2294,08:22:55
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf (majority vote, 5 rounds)",400,400,0,199,167,1,33,0.58,0.5437,0.995,0.7032,0.2869,08:27:32
"results_higgs_llama3.1_8B_3bit (majority vote, 5 rounds)",400,400,0,196,144,4,56,0.63,0.5765,0.98,0.7259,0.3641,00:20:00
"results_higgs_llama3.1_8B_4bit (majority vote, 5 rounds)",400,400,0,197,137,3,63,0.65,0.5898,0.985,0.7378,0.4041,00:17:59
"results_llama3.1_8b_q4km_aizu_lora (majority vote, 5 rounds)",400,400,0,179,2,21,198,0.9425,0.989,0.895,0.9396,0.889,00:03:13
"results_original_meta-llama__Meta-Llama-3.1-8B-Instruct (majority vote, 5 rounds)",400,400,0,198,125,2,75,0.6825,0.613,0.99,0.7572,0.4629,00:11:14
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-2Bit (majority vote, 5 rounds)",400,400,0,196,151,4,49,0.6125,0.5648,0.98,0.7166,0.3318,00:25:27
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-3Bit (majority vote, 5 rounds)",400,400,0,198,131,2,69,0.6675,0.6018,0.99,0.7486,0.4384,00:24:50
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-4Bit (majority vote, 5 rounds)",400,400,0,197,119,3,81,0.695,0.6234,0.985,0.7636,0.4788,00:26:14
"results_qwen2.5_coder_7B_original (majority vote, 5 rounds)",400,400,0,106,0,94,200,0.765,1.0,0.53,0.6928,0.6005,00:08:38
"results_qwen2.5_coder_7B_q2k (majority vote, 5 rounds)",400,400,0,162,0,38,200,0.905,1.0,0.81,0.895,0.825,05:53:36
"results_qwen2.5_coder_7B_q3km (majority vote, 5 rounds)",400,400,0,112,0,88,200,0.78,1.0,0.56,0.7179,0.6236,05:58:47
"results_qwen2.5_coder_7B_q4km (majority vote, 5 rounds)",400,400,0,127,0,73,200,0.8175,1.0,0.635,0.7768,0.6821,06:03:09
"results_qwen_q4km_aizuCL_lora (majority vote, 5 rounds)",400,400,0,196,5,4,195,0.9775,0.9751,0.98,0.9776,0.955,00:03:02
"results_qwen_q4km_aizu_lora (majority vote, 5 rounds)",400,400,0,195,4,5,196,0.9775,0.9799,0.975,0.9774,0.955,00:03:02
"results_qwen3_coder_30B_a3b_fp8 (majority vote, 5 rounds)",400,400,0,130,0,70,200,0.825,1.0,0.65,0.7879,0.6939,00:07:05
"results_qwen3_coder_30B_a3b_fp8_q4km_gguf (majority vote, 5 rounds)",400,400,0,146,0,54,200,0.865,1.0,0.73,0.8439,0.7582,00:05:52
"results_original_CohereLabs__aya-expanse-8b (majority vote, 5 rounds)",400,400,0,173,42,27,158,0.8275,0.8047,0.865,0.8337,0.6568,00:19:01
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q2_k.gguf (majority vote, 5 rounds)",400,400,0,196,175,4,25,0.5525,0.5283,0.98,0.6865,0.2025,00:04:45
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q3_k_m.gguf (majority vote, 5 rounds)",400,400,0,197,143,3,57,0.635,0.5794,0.985,0.7296,0.3781,00:05:31
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q4_k_m.gguf (majority vote, 5 rounds)",400,400,0,191,39,9,161,0.88,0.8304,0.955,0.8884,0.7687,00:06:11
